int, FP, FP, int, string, TableReward, TableReward, TableReward, TableReward
Round, RoundTime, RoundEndCountDownTime, Life, DataName, Reward_1, Reward_2, Reward_3, Reward_4
1, 300, 30, 15, "BombData_1", "10,10,10", "103, 2, 2", "101,100,100"
2, 300, 30, 15, "BombData_2", "10,10,10", "103, 2, 2", "101,100,100"
3, 300, 30, 15, "BombData_3", "10,10,10", "103, 2, 2", "101,100,100"
4, 300, 30, 15, "BombData_4", "10,10,10", "103, 2, 2", "101,100,100"
5, 300, 30, 15, "BombData_5", "10,10,10", "103, 2, 2", "101,100,100"
6, 300, 30, 15, "BombData_6", "10,10,10", "103, 3, 3", "101,150,150"
7, 300, 30, 15, "BombData_7", "10,10,10", "103, 3, 3", "101,150,150"
8, 300, 30, 15, "BombData_8", "10,10,10", "103, 3, 3", "101,150,150"
9, 300, 30, 15, "BombData_9", "10,10,10", "103, 3, 3", "101,150,150"
10, 300, 30, 15, "BombData_10", "10,50,50", "103, 3, 3", "101,150,150"
11, 300, 30, 15, "BombData_11", "10,10,10", "103, 4, 4", "101,200,200"
12, 300, 30, 15, "BombData_12", "10,10,10", "103, 4, 4", "101,200,200"
13, 300, 30, 15, "BombData_13", "10,10,10", "103, 4, 4", "101,200,200"
14, 300, 30, 15, "BombData_14", "10,10,10", "103, 4, 4", "101,200,200"
15, 300, 30, 15, "BombData_15", "10,50,50", "103, 4, 4", "101,200,200"
16, 300, 30, 15, "BombData_16", "10,10,10", "103, 5, 5", "101,300,300"
17, 300, 30, 15, "BombData_17", "10,10,10", "103, 5, 5", "101,300,300"
18, 300, 30, 15, "BombData_18", "10,10,10", "103, 5, 5", "101,300,300"
19, 300, 30, 15, "BombData_19", "10,10,10", "103, 5, 5", "101,300,300"
20, 300, 30, 15, "BombData_20", "10,50,50", "103, 5, 5", "101,300,300"
