int, int, ELuckyCarnivalSlotType, int, TableReward
Id, GroupId, SlotType, Value, Reward
1, 0, "None", 0
2, 0, "None", 0
3, 0, "None", 0
4, 0, "Point", 1
5, 0, "Point", 1
6, 0, "Point", 2
7, 0, "Point", 2
8, 0, "Point", 2
9, 0, "Point", 3
10, 0, "Point", 3
11, 0, "Point", 3
12, 0, "Point", 5
13, 0, "Point", 5
14, 0, "Point", 5
15, 0, "Point", 10
16, 0, "Ratio", 2
17, 0, "Ratio", 2
18, 0, "Reward", 1, "[101, 500, 500]"
19, 0, "Reward", 1, "[101, 500, 500]"
20, 0, "Reward", 1, "[101, 500, 500]"
21, 0, "Reward", 2, "[101, 1000, 1000]"
22, 0, "Reward", 3, "[103, 15, 15]"
23, 0, "Reward", 4, "[103, 30, 30]"
24, 0, "Bomb", 0
25, 0, "Bomb", 0
