int, System.DateTime, System.DateTime, int, int, int[], int[]
Id, StartAt, EndAt, Duration, Seed, FixedProducts, RandomProductPool
1, "2024-11-21 0:00:00", "2024-12-10 0:00:00", 1641600, 1, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
2, "2024-12-10 0:00:00", "2024-12-17 0:00:00", 604800, 2, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
3, "2024-12-17 0:00:00", "2024-12-24 0:00:00", 604800, 3, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
4, "2024-12-24 0:00:00", "2024-12-31 0:00:00", 604800, 4, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
5, "2024-12-31 0:00:00", "2025-01-07 0:00:00", 604800, 5, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
6, "2025-01-07 0:00:00", "2025-01-14 0:00:00", 604800, 6, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
7, "2025-01-14 0:00:00", "2025-01-21 0:00:00", 604800, 7, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
8, "2025-01-21 0:00:00", "2025-01-28 0:00:00", 604800, 8, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
9, "2025-01-28 0:00:00", "2025-02-04 0:00:00", 604800, 9, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
10, "2025-02-04 0:00:00", "2025-02-11 0:00:00", 604800, 10, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
11, "2025-02-11 0:00:00", "2025-02-18 0:00:00", 604800, 11, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
12, "2025-02-18 0:00:00", "2025-02-25 0:00:00", 604800, 12, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
13, "2025-02-25 0:00:00", "2025-03-04 0:00:00", 604800, 13, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
14, "2025-03-04 0:00:00", "2025-03-11 0:00:00", 604800, 14, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
15, "2025-03-11 0:00:00", "2025-03-18 0:00:00", 604800, 15, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
16, "2025-03-18 0:00:00", "2025-03-25 0:00:00", 604800, 16, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
17, "2025-03-25 0:00:00", "2025-04-01 0:00:00", 604800, 17, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
18, "2025-04-01 0:00:00", "2025-04-08 0:00:00", 604800, 18, "50001 | 50002 | 50003 | 50004 | 50005 | 50006"
19, "2025-04-08 0:00:00", "2025-04-15 0:00:00", 604800, 19, "50001 | 50002 | 50003 | 50004 | 50005 | 50006 | 50007 | 50008"
