int, int, EAIBehaviourType, int[], int[], int[], int[]
Id, Group, Type, Waves, Weights, Params, WaveParams
101, 1, "Spawn", "1 | 3 | 5 | 10 | 15 | 100", "100 | 100 | 100 | 0 | 100 | 100"
102, 1, "Move", "1 | 3 | 5 | 10 | 15 | 100", "0 | 60 | 60 | 60 | 50 | 50"
103, 1, "Merge", "1 | 3 | 5 | 10 | 15 | 100", "0 | 50 | 50 | 100 | 100 | 100"
104, 1, "Gamble", "1 | 3 | 5 | 10 | 15 | 100", "0 | 100 | 100 | 150 | 150 | 150"
105, 1, "Challenge", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0 | 0 | 50 | 50 | 50"
106, 1, "SpawnMythical", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0 | 10 | 50 | 100 | 100", "3007 | 5001 | 5002 | 5003 | 5005 | 5008 | 5009 | 5010 | 5013 | 5014"
107, 1, "UpgradeAttack", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0 | 50 | 100 | 100 | 100"
108, 1, "UpgradeSpawnLevel", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0 | 50 | 100 | 100 | 100", "", "2000 | 2000 | 2000 | 2000 | 2000 | 2000"
109, 1, "ActionMythical", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 0 | 0 | 30 | 30", "5003 | 5009 | 5010 | 5013 | 5014 | 5015 | 5018"
201, 2, "Spawn", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 50 | 50 | 30"
202, 2, "Move", "1 | 5 | 10 | 20 | 30 | 100", "50 | 80 | 80 | 80 | 70 | 70"
203, 2, "Merge", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 100 | 100 | 100"
204, 2, "Gamble", "1 | 5 | 10 | 20 | 30 | 100", "50 | 50 | 100 | 100 | 100 | 100"
205, 2, "Sell", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 20 | 20 | 20 | 20"
206, 2, "Challenge", "1 | 5 | 10 | 20 | 30 | 100", "10 | 20 | 30 | 50 | 50 | 50"
207, 2, "SpawnMythical", "1 | 5 | 10 | 20 | 30 | 100", "0 | 50 | 50 | 50 | 100 | 100", "4006 | 5003 | 5009 | 5010 | 5013 | 5014 | 5015 | 5016 | 5018"
208, 2, "UpgradeAttack", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 0 | 0 | 50 | 50"
209, 2, "UpgradeSpawnLevel", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 0 | 5 | 5 | 5", "", "0 | 0 | 0 | 1000 | 2000 | 2000"
210, 2, "ActionMythical", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 0 | 10 | 30 | 30", "5003 | 5009 | 5010 | 5013 | 5014 | 5015 | 5018"
301, 3, "Spawn", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 50 | 50 | 30"
302, 3, "Move", "1 | 5 | 10 | 20 | 30 | 100", "50 | 80 | 80 | 80 | 70 | 70"
303, 3, "Merge", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 100 | 100 | 100"
304, 3, "Gamble", "1 | 5 | 10 | 20 | 30 | 100", "50 | 50 | 100 | 100 | 100 | 100"
305, 3, "Sell", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 20 | 20 | 20 | 20"
306, 3, "Challenge", "1 | 5 | 10 | 20 | 30 | 100", "10 | 20 | 30 | 50 | 50 | 50"
307, 3, "SpawnMythical", "1 | 5 | 10 | 20 | 30 | 100", "0 | 50 | 50 | 50 | 100 | 100", "4006 | 5009 | 5010 | 5013 | 5014 | 5015 | 5016 | 5018 | 5019 | 5021"
308, 3, "UpgradeAttack", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 0 | 0 | 50 | 50"
309, 3, "UpgradeSpawnLevel", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 0 | 5 | 5 | 5", "", "0 | 0 | 0 | 1000 | 2000 | 2000"
310, 3, "ActionMythical", "1 | 5 | 10 | 20 | 30 | 100", "0 | 10 | 20 | 20 | 30 | 30", "5009 | 5010 | 5013 | 5014 | 5015 | 5018"
311, 3, "MoveHunt", "1 | 5 | 10 | 20 | 30 | 100", "20 | 40 | 60 | 60 | 60 | 20"
312, 3, "SpawnHyper", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 100 | 100 | 100"
401, 4, "Spawn", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 50 | 50 | 30"
402, 4, "Move", "1 | 5 | 10 | 20 | 30 | 100", "50 | 80 | 80 | 80 | 70 | 70"
403, 4, "Merge", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 100 | 100 | 100"
404, 4, "Gamble", "1 | 5 | 10 | 20 | 30 | 100", "50 | 50 | 100 | 100 | 100 | 100"
405, 4, "Sell", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 20 | 20 | 20 | 20"
406, 4, "Challenge", "1 | 5 | 10 | 20 | 30 | 100", "10 | 20 | 30 | 50 | 50 | 50"
407, 4, "SpawnMythical", "1 | 5 | 10 | 20 | 30 | 100", "0 | 50 | 50 | 50 | 100 | 100", "4006 | 5009 | 5010 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021"
408, 4, "UpgradeAttack", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 0 | 0 | 50 | 50"
409, 4, "UpgradeSpawnLevel", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 0 | 5 | 5 | 5", "", "0 | 0 | 0 | 1000 | 2000 | 2000"
410, 4, "ActionMythical", "1 | 5 | 10 | 20 | 30 | 100", "0 | 10 | 20 | 20 | 30 | 30", "5009 | 5010 | 5013 | 5015 | 5018"
411, 4, "SpawnHyper", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 100 | 100 | 100"
501, 5, "Spawn", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 50 | 50 | 30"
502, 5, "Move", "1 | 5 | 10 | 20 | 30 | 100", "50 | 80 | 80 | 80 | 70 | 70"
503, 5, "Merge", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 100 | 100 | 100"
504, 5, "Gamble", "1 | 5 | 10 | 20 | 30 | 100", "50 | 50 | 100 | 100 | 100 | 100"
505, 5, "Sell", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 20 | 20 | 20 | 20"
506, 5, "Challenge", "1 | 5 | 10 | 20 | 30 | 100", "10 | 20 | 30 | 50 | 50 | 50"
507, 5, "SpawnMythical", "1 | 5 | 10 | 20 | 30 | 100", "0 | 50 | 50 | 50 | 100 | 100", "4006 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021"
508, 5, "UpgradeAttack", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 0 | 0 | 50 | 50"
509, 5, "UpgradeSpawnLevel", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 0 | 5 | 5 | 5", "", "0 | 0 | 0 | 1000 | 2000 | 2000"
510, 5, "ActionMythical", "1 | 5 | 10 | 20 | 30 | 100", "0 | 10 | 20 | 20 | 30 | 30", "5009 | 5013 | 5015 | 5018"
511, 5, "MoveHunt", "1 | 5 | 10 | 20 | 30 | 100", "20 | 40 | 60 | 60 | 60 | 20"
512, 5, "SpawnHyper", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 100 | 100 | 100"
601, 6, "Spawn", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 50 | 50 | 30"
602, 6, "Move", "1 | 5 | 10 | 20 | 30 | 100", "50 | 80 | 80 | 80 | 70 | 70"
603, 6, "Merge", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 100 | 100 | 100"
604, 6, "Gamble", "1 | 5 | 10 | 20 | 30 | 100", "50 | 50 | 100 | 100 | 100 | 100"
605, 6, "Sell", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 20 | 20 | 20 | 20"
606, 6, "Challenge", "1 | 5 | 10 | 20 | 30 | 100", "10 | 20 | 30 | 50 | 50 | 50"
607, 6, "SpawnMythical", "1 | 5 | 10 | 20 | 30 | 100", "0 | 50 | 50 | 50 | 100 | 100", "4006 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021"
608, 6, "UpgradeAttack", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 0 | 0 | 50 | 50"
609, 6, "UpgradeSpawnLevel", "1 | 5 | 10 | 20 | 30 | 100", "0 | 0 | 0 | 5 | 5 | 5", "", "0 | 0 | 0 | 1000 | 2000 | 2000"
610, 6, "ActionMythical", "1 | 5 | 10 | 20 | 30 | 100", "0 | 10 | 20 | 20 | 30 | 30", "5009 | 5013 | 5015 | 5018"
611, 6, "SpawnHyper", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 100 | 100 | 100"
612, 6, "PickCards", "1 | 5 | 10 | 20 | 30 | 100", "100 | 100 | 100 | 100 | 100 | 100"
613, 6, "ActionHyper", "1 | 5 | 10 | 20 | 30 | 100", "0 | 10 | 20 | 20 | 30 | 30", 15009
701, 7, "Spawn", "1 | 3 | 5 | 10 | 15 | 100", "100 | 100 | 100 | 0 | 100 | 100"
702, 7, "Move", "1 | 3 | 5 | 10 | 15 | 100", "100 | 100 | 60 | 60 | 50 | 50"
703, 7, "Merge", "1 | 3 | 5 | 10 | 15 | 100", "0 | 50 | 50 | 100 | 100 | 100"
801, 8, "Spawn", "1 | 3 | 5 | 10 | 15 | 100", "100 | 100 | 100 | 0 | 100 | 100"
802, 8, "Move", "1 | 3 | 5 | 10 | 15 | 100", "0 | 60 | 60 | 60 | 50 | 50"
803, 8, "Merge", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0 | 0 | 100 | 100 | 100"
804, 8, "Gamble", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0| 100 | 150 | 150 | 150"
805, 8, "SpawnMythical", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0 | 0 | 100 | 100 | 100", 3007
901, 9, "Spawn", "1 | 3 | 5 | 10 | 15 | 100", "100 | 100 | 100 | 0 | 100 | 100"
902, 9, "Move", "1 | 3 | 5 | 10 | 15 | 100", "0 | 60 | 60 | 60 | 50 | 50"
903, 9, "Merge", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0 | 0 | 100 | 100 | 100"
904, 9, "Gamble", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0| 100 | 150 | 150 | 150"
905, 9, "SpawnMythical", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0 | 0 | 100 | 100 | 100", 3007
906, 9, "UpgradeAttack", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0 | 100 | 100 | 100 | 100"
907, 9, "UpgradeSpawnLevel", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0 | 100 | 100 | 100 | 100", "", "2000 | 2000 | 2000 | 2000 | 2000 | 2000"
1001, 10, "Spawn", "1 | 3 | 5 | 10 | 15 | 100", "100 | 100 | 100 | 0 | 100 | 100"
1002, 10, "Move", "1 | 3 | 5 | 10 | 15 | 100", "0 | 60 | 60 | 60 | 50 | 50"
1003, 10, "Merge", "1 | 3 | 5 | 10 | 15 | 100", "0 | 50 | 50 | 100 | 100 | 100"
1004, 10, "Gamble", "1 | 3 | 5 | 10 | 15 | 100", "0 | 100 | 100 | 150 | 150 | 150"
1005, 10, "Challenge", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0 | 0 | 50 | 50 | 50"
1006, 10, "SpawnMythical", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0 | 10 | 50 | 100 | 100", 3007
1007, 10, "UpgradeAttack", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0 | 50 | 100 | 100 | 100"
1008, 10, "UpgradeSpawnLevel", "1 | 3 | 5 | 10 | 15 | 100", "0 | 0 | 50 | 100 | 100 | 100", "", "2000 | 2000 | 2000 | 2000 | 2000 | 2000"
