int, int, bool, float, float, TableReward, TableReward, TableReward, TableReward
Id, GroupId, IsFixed, MinRank, MaxRank, Reward_1, Reward_2, Reward_3, Reward_4
1, 1, "TRUE", 1, 1, "153, 500, 500", "102, 500, 500"
2, 1, "TRUE", 2, 2, "153, 400, 400", "102, 450, 450"
3, 1, "TRUE", 3, 3, "153, 300, 300", "102, 400, 400"
4, 1, "TRUE", 4, 10, "153, 200, 200", "102, 350, 350"
5, 1, "FALSE", 0, 5, "153, 150, 150", "102, 300, 300"
6, 1, "FALSE", 6, 10, "153, 120, 120", "102, 250, 250"
7, 1, "FALSE", 11, 30, "153, 100, 100", "102, 200, 200"
8, 1, "FALSE", 31, 50, "153, 80, 80", "102, 150, 150"
9, 1, "FALSE", 51, 70, "153, 60, 60", "102, 120, 120"
10, 1, "FALSE", 71, 100, "153, 50, 50", "102, 100, 100"
11, 2, "TRUE", 1, 1, "153, 500, 500", "102, 500, 500"
12, 2, "TRUE", 2, 2, "153, 400, 400", "102, 450, 450"
13, 2, "TRUE", 3, 3, "153, 300, 300", "102, 400, 400"
14, 2, "TRUE", 4, 10, "153, 200, 200", "102, 350, 350"
15, 2, "FALSE", 0, 5, "153, 150, 150", "102, 300, 300"
16, 2, "FALSE", 6, 10, "153, 120, 120", "102, 250, 250"
17, 2, "FALSE", 11, 30, "153, 100, 100", "102, 200, 200"
18, 2, "FALSE", 31, 50, "153, 80, 80", "102, 150, 150"
19, 2, "FALSE", 51, 70, "153, 60, 60", "102, 120, 120"
20, 2, "FALSE", 71, 100, "153, 50, 50", "102, 100, 100"
21, 3, "FALSE", 1, 1, "153, 500, 500", "102, 500, 500"
22, 3, "FALSE", 2, 2, "153, 400, 400", "102, 450, 450"
23, 3, "FALSE", 3, 3, "153, 300, 300", "102, 400, 400"
24, 3, "FALSE", 4, 10, "153, 200, 200", "102, 350, 350"
25, 3, "FALSE", 0, 5, "153, 150, 150", "102, 300, 300"
26, 3, "FALSE", 6, 10, "153, 120, 120", "102, 250, 250"
27, 3, "FALSE", 11, 30, "153, 100, 100", "102, 200, 200"
28, 3, "FALSE", 31, 50, "153, 80, 80", "102, 150, 150"
29, 3, "FALSE", 51, 70, "153, 60, 60", "102, 120, 120"
30, 3, "FALSE", 71, 100, "153, 50, 50", "102, 100, 100"
