int, int, bool, float, float, TableReward, TableReward, TableReward, TableReward
Id, GroupId, IsFixed, MinRank, MaxRank, Reward_1, Reward_2, Reward_3, Reward_4
1, 1, "TRUE", 1, 1, "109, 1500, 1500", "102, 500, 500"
2, 1, "TRUE", 2, 2, "109, 1400, 1400", "102, 450, 450"
3, 1, "TRUE", 3, 3, "109, 1300, 1300", "102, 400, 400"
4, 1, "TRUE", 4, 10, "109, 1200, 1200", "102, 350, 350"
5, 1, "FALSE", 0, 5, "109, 1100, 1100", "102, 300, 300"
6, 1, "FALSE", 6, 10, "109, 900, 900", "102, 250, 250"
7, 1, "FALSE", 11, 30, "109, 800, 800", "102, 200, 200"
8, 1, "FALSE", 31, 50, "109, 700, 700", "102, 150, 150"
9, 1, "FALSE", 51, 70, "109, 600, 600", "102, 120, 120"
10, 1, "FALSE", 71, 100, "109, 500, 500", "102, 100, 100"
11, 2, "TRUE", 1, 1, "109, 1500, 1500", "102, 500, 500"
12, 2, "TRUE", 2, 2, "109, 1400, 1400", "102, 450, 450"
13, 2, "TRUE", 3, 3, "109, 1300, 1300", "102, 400, 400"
14, 2, "TRUE", 4, 10, "109, 1200, 1200", "102, 350, 350"
15, 2, "FALSE", 0, 5, "109, 1100, 1100", "102, 300, 300"
16, 2, "FALSE", 6, 10, "109, 900, 900", "102, 250, 250"
17, 2, "FALSE", 11, 30, "109, 800, 800", "102, 200, 200"
18, 2, "FALSE", 31, 50, "109, 700, 700", "102, 150, 150"
19, 2, "FALSE", 51, 70, "109, 600, 600", "102, 120, 120"
20, 2, "FALSE", 71, 100, "109, 500, 500", "102, 100, 100"
21, 3, "TRUE", 1, 1, "109, 3000, 3000", "102, 3000, 3000"
22, 3, "TRUE", 2, 2, "109, 2500, 2500", "102, 2500, 2500"
23, 3, "TRUE", 3, 3, "109, 2000, 2000", "102, 2000, 2000"
24, 3, "TRUE", 4, 10, "109, 1500, 1500", "102, 1500, 1500"
25, 3, "TRUE", 11, 30, "109, 1200, 1200", "102, 1200, 1200"
26, 3, "TRUE", 31, 50, "109, 1000, 1000", "102, 1000, 1000"
27, 3, "FALSE", 0, 10, "109, 900, 900", "102, 900, 900"
28, 3, "FALSE", 11, 30, "109, 800, 800", "102, 800, 800"
29, 3, "FALSE", 31, 50, "109, 700, 700", "102, 700, 700"
30, 3, "FALSE", 51, 70, "109, 600, 600", "102, 600, 600"
31, 3, "FALSE", 71, 100, "109, 500, 500", "102, 500, 500"
