int, int, int, int, int[], int[], int, int, int, int, int, FP, FP, FP, int, int, FP, FP, FP, TableReward, TableReward, TableReward, TableReward, TableReward, TableReward, TableReward, int[]
Id, WaveNumber, WaveGroup, Level, PathIds, MonsterGroups, GroupCount, MonsterId, BossMonsterId, Defense, SpawnCount, SpawnInterval, SpawnDelay, NextDelay, StartGivePoint, StartGiveSpecialPoint, KillPoint, KillSpecialPoint, KillCombatPoint, Reward_1, Reward_2, Reward_3, Reward_4, ClearRandomReward_1, ClearRandomReward_2, ClearRandomReward_3, RandomRewardProb
1001, 1, 1, 0, "", "", "", 1001, "", 0, 40, "0.35", 0, 20, 0, 0, 1, 0, 0, "10,10,10", "103, 1, 1", "101,5,5"
1002, 2, 1, 3, "", "", "", 1001, "", 0, 40, "0.35", 0, 20, 20, 0, 1, 0, 0, "10,10,10", "103, 1, 1", "101,5,5"
1003, 3, 1, 5, "", "", "", 1001, "", 0, 40, "0.35", 0, 20, 20, 0, 1, 0, 0, "10,10,10", "103, 1, 1", "101,5,5"
1004, 4, 1, 7, "", "", "", 1001, "", 0, 40, "0.35", 0, 20, 20, 0, 1, 0, 0, "10,10,10", "103, 1, 1", "101,5,5"
1005, 5, 1, 2, "", "", "", 1002, "", 0, 40, "0.35", 0, 20, 20, 0, 2, 0, 0, "10,10,10", "103, 1, 1", "101,10,10"
1006, 6, 1, 3, "", "", "", 1002, "", 0, 40, "0.35", 0, 20, 20, 0, 2, 0, 0, "10,10,10", "103, 1, 1", "101,10,10"
1007, 7, 1, 4, "", "", "", 1002, "", 0, 40, "0.35", 0, 20, 20, 0, 2, 0, 0, "10,10,10", "103, 1, 1", "101,10,10"
1008, 8, 1, 5, "", "", "", 1002, "", 0, 40, "0.35", 0, 20, 20, 0, 2, 0, 0, "10,10,10", "103, 1, 1", "101,10,10"
1009, 9, 1, 6, "", "", "", 1002, "", 0, 40, "0.35", 0, 20, 20, 0, 2, 0, 0, "10,10,10", "103, 1, 1", "101,10,10"
1010, 10, 1, 0, "", "", "", "", 1003, 0, 0, "0.35", 0, 60, 20, 0, 50, 2, 0, "10,50,50", "103, 3, 3", "101,100,100"
