string, string, string, string, string, string, string, string, string
Id, ko, en, ja, tw, fr, de, cn, es
"game_title", "운빨존많겜", "Lucky Defense", "ラッキー傭兵団：協力ディフェンス", "運氣拚輸贏", "Lucky Defense", "Lucky Defense", "运气拼输赢", "Dios mío"
"luckey", "운빨", "Lucky", "ラッキー", "運氣", "Lucky", "Lucky", "运气", "Afortunado"
"title_option", "옵션", "Options", "オプション", "設定", "Option", "Optionen", "环境", "Opción"
"title_quest", "퀘스트", "Quest", "クエスト", "探索", "Quêtes", "Quest", "探索", "Búsqueda"
"title_wavepass", "사냥 패스", "Hunt Pass", "ハンターパス", "狩獵通行證", "Pass Chasse", "Jagdpass", "狩猎通行证", "Paso de caza"
"title_ranking", "랭킹", "Ranking", "ランキング", "排名", "Classement", "Rangliste", "排名", "Tabla de clasificación"
"main_tab_button_custom_game", "친구랑 하기", "With Friend", "友達とプレイ", "與好友進行", "Avec un ami", "Mit Freunden spielen", "与好友进行", "Con un amigo"
"main_tab_button_quick", "빠른 시작!", "Quick Match", "クイックプレイ", "快速開始！", "Partie rapide", "Schnellstart", "快速开始！", "Partido rápido"
"title_shop", "상점", "Shop", "ショップ", "商店", "Boutique", "Shop", "商店", "Comercio"
"title_unit", "영웅", "Guardian", "ユニット", "兵種", "Héros", "Helden", "兵种", "Guardián"
"title_main", "전투", "Battle", "バトル", "戰鬥", "Combat", "Kampf", "战斗", "Batalla"
"title_relic", "유물", "Artifact", "遺物", "文物", "Reliques", "Relikt", "文物", "Artefacto"
"title_social", "소셜", "Social", "ソーシャル", "社群", "Social", "Freunde", "社群", "Social"
"main_tab_widget_recruit", "영웅 모집", "Recruit", "ユニット募集", "招募兵種", "Recruter héros", "Helden rekrutieren", "招募兵种", "Recluta"
"title_free", "무료", "Free", "無料", "免費", "Gratuit", "Gratis", "免费", "Gratis"
"title_free_reward", "무료 획득", "Free", "無料獲得", "免費獲得", "Gratuit", "Gratis", "免费获得", "Gratis"
"shop_tab_daily_title", "일일 상품", "Daily Deals", "デイリーショップ", "每日商品", "Produits quotidiens", "Tägliche Angebote", "每日商品", "Ofertas diarias"
"days", "일", "d", "日", "日", "j", "T.", "天", "d"
"hours", "시간", "h", "時間", "小時", "h", "Std.", "小时", "h"
"minutes", "분", "m", "分", "分", "min", "Min.", "分", "metro"
"seconds", "초", "s", "秒", "秒", "s", "Sek.", "秒", "s"
"count", "개", " ", "個", "個", "", "", "个"
"reset_time", "{0}", "{0}", "{0}", "{0}", "{0}", "{0}", "{0}", "{0}"
"reset_d_time", "D-{0}", "D-{0}", "D-{0}", "D-{0}", "D-{0}", "D-{0}", "D-{0}", "D-{0}"
"reset", "초기화", "Reset", "リセット", "重置", "Réinitialiser", "Zurücksetzen", "重置", "Reiniciar"
"shop_tab_gacha_title", "유물 찾기", "Artifact Mine", "遺物発掘", "尋找文物", "Mine de Reliques", "Reliktmine", "寻找文物", "Mina de artefactos"
"shop_tab_gold_title", "골드", "Gold", "ゴールド", "金幣", "Or", "Gold", "金币", "Oro"
"shop_tab_diamond_title", "보석", "Diamond", "ダイヤ", "鑽石", "Diamant", "Diamanten", "钻石", "Diamante"
"order_title_grade", "등급 순", "Tier", "ランク順", "階級順序", "Grade", "Rang", "阶级顺序", "Nivel"
"order_title_level", "레벨 순", "Level", "レベル順", "等級順序", "Nv.", "Level", "等级顺序", "Nivel"
"order_title_grade_desc", "등급 역순", "Tier", "ランク降順", "階級降序", "Grade", "Rang", "阶级降序", "Nivel"
"order_title_level_desc", "레벨 역순", "Level", "レベル降順", "等級降序", "Nv.", "Level", "等级降序", "Nivel"
"button_select", "선택", "Select", "選択", "選擇", "Choisir", "Auswählen", "选择", "Seleccionar"
"button_title_ugprade", "업그레이드", "Upgrade", "アップグレード", "升級", "Améliorer", "Verbessern", "升级", "Mejora"
"button_ok", "확인", "Confirm", "確認", "確認", "OK", "Bestätigen", "确认", "Confirmar"
"button_yes", "확인", "Confirm", "確認", "確認", "OK", "Bestätigen", "确认", "Confirmar"
"button_no", "취소", "Cancel", "キャンセル", "取消", "Annuler", "Abbrechen", "取消", "Cancelar"
"button_buy", "구매", "Purchase", "購入", "購買", "Acheter", "Kaufen", "购买", "Compra"
"status_Damage", "피해량", "DMG", "ダメージ量", "傷害量", "DEG", "Schaden", "伤害量", "Daño"
"status_AttackDamage", "공격력", "ATK", "攻撃力", "攻擊力", "ATQ", "ANG", "攻击力", "ATK"
